Paper Title,Author(s),Abstract,Conference/Journal,Conference/Journal Score (from http://portal.core.edu.au/conf-ranks/ and http://portal.core.edu.au/jnl-ranks/ and/or https://www.scimagojr.com/),Year,BibTeX Reference
Extending Web Applications with a Lightweight Zero Knowledge Proof Authentication,"Sławomir Grzonkowski, Wojciech Zaremba, Maciej Zaremba, Bill McDaniel",The notion of zero-knowledge [20] is formalized by requiring that for every malicious efficient verifier V * there exists an efficient simulator S that can reconstruct the view of V * in a true interaction with the prover in a way that is indistinguishable to every polynomial-time distinguisher. Weak zero-knowledge weakens this notions by switching the order of the quantifiers and only requires that for every distinguisher D there exists a (potentially different) simulator S D .In this paper we consider various notions of zero-knowledge and investigate whether their weak variants are equivalent to their strong variants. Although we show (under complexity assumption) that for the standard notion of zero-knowledge its weak and strong counterparts are not equivalent for meaningful variants of the standard notion the weak and strong counterparts are indeed equivalent. Towards showing these equivalences we introduce new non-black-box simulation techniques permitting us for instance to demonstrate that the classical 2-round graph non-isomorphism protocol of Goldreich-Micali-Wigderson [18] satisfies a â€œdistributionalâ€ variant of zero-knowledge.Our equivalence theorem has other applications beyond the notion of zero-knowledge. For instance it directly implies the dense model theorem of Reingold et al (STOC â€™08) and the leakage lemma of Gentry-Wichs (STOC â€™11) and provides a modular and arguably simpler proof of these results (while at the same time recasting these result in the language of zero-knowledge).,CSTST,A,2008,"@inproceedings{10.1145/1456223.1456241,
author = {Grzonkowski, S\l{}awomir and Zaremba, Wojciech and Zaremba, Maciej and McDaniel, Bill},
title = {Extending Web Applications with a Lightweight Zero Knowledge Proof Authentication},
year = {2008},
isbn = {9781605580463},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/1456223.1456241},
doi = {10.1145/1456223.1456241},
abstract = {User authentication is a crucial requirement for secure transactions and access to the sensitive resources on the Web. We propose, implement and evaluate a Zero-Knowledge Proof Authentication (ZKP) algorithm based on isomorphic graphs. The proposed mechanism allows for authentication with varying confidence and security levels.We suggest that most of the computations should be carried out by the user's web browser without revealing password or login at any point in time; instead generated random isomorphic graphs and permutation functions based on the user login/password can be exchanged.Our experimental evaluation shows that by combining the asynchronous web with ZKP protocols, it is feasible to satisfy existing usability standards on the web.},
booktitle = {Proceedings of the 5th International Conference on Soft Computing as Transdisciplinary Science and Technology},
pages = {65–70},
numpages = {6},
keywords = {password, zero knowledge proof, web 2.0, protocols, web 2.0 authentication, graph isomorphism},
location = {Cergy-Pontoise, France},
series = {CSTST '08}
}"
Privacy and Cryptocurrencies—A Systematic Literature Review,Lasse Herskind; Panagiota Katsikouli; Nicola Dragoni,User authentication is a crucial requirement for secure transactions and access to the sensitive resources on the Web. We propose implement and evaluate a Zero-Knowledge Proof Authentication (ZKP) algorithm based on isomorphic graphs. The proposed mechanism allows for authentication with varying confidence and security levels. We suggest that most of the computations should be carried out by the userâ€™s web browser without revealing password or login at any point in time; instead generated random isomorphic graphs and permutation functions based on the user login/password can be exchanged. Our experimental evaluation shows that by combining the asynchronous web with ZKP protocols it is feasible to satisfy existing usability standards on the web.,IEEE Access,B,2020,"@ARTICLE{9036864,
author={Herskind, Lasse and Katsikouli, Panagiota and Dragoni, Nicola},
journal={IEEE Access}, title={Privacy and Cryptocurrencies—A Systematic Literature Review}, year={2020},
volume={8},
number={},
pages={54044-54059},
doi={10.1109/ACCESS.2020.2980950}}"
A Review of Post-quantum Cryptography and Crypto-agility Strategies,Olaf Grote; Andreas Ahrens; César Benavente-Peces,Our transaction history in the current centralized banking system has the ability to reveal a lot of private information for each spender both to the banking system itself but also to those entities that surround it (e.g. governments industry etc). Examples of leaking information constitute the amounts spent the goods on which the amounts were spent the spending locations and the users we exchange money with. This knowledge is powerful in the hands of those who have it and can be used in multiple ways not always to our benefit. Cryptocurrencies such as the famous Bitcoin were proposed as a means to address the limitations of centralized banking systems and to offer its users privacy with regards to their transactional data. In this work we perform a systematic literature review on the realm of privacy for electronic currencies. We present the development of digital money from electronic cash to cryptocurrencies and focus on the techniques that are employed to enhance user-privacy. Furthermore we present flaws of the current cryptocurrency systems which reduce the privacy of the cryptocurrency users. Finally we describe three research directions to enhance privacy for cryptocurrencies: transaction propagation mechanisms succinct ZK proof systems without a trusted setup and specialised trustless zero-knowledge proofs.,2019 International Interdisciplinary PhD Workshop (IIPhDW),N/A,2019,"@INPROCEEDINGS{8755433,
author={Grote, Olaf and Ahrens, Andreas and Benavente-Peces, César},
booktitle={2019 International Interdisciplinary PhD Workshop (IIPhDW)}, title={A Review of Post-quantum Cryptography and Crypto-agility Strategies}, year={2019},
volume={},
number={},
pages={115-120},
doi={10.1109/IIPHDW.2019.8755433}}"
CRYSTALS - Kyber: A CCA-Secure Module-Lattice-Based KEM,"Joppe Bos, Leo Ducas, Eike Kiltz, T Lepoint, Vadim Lyubashevsky, John M. Schanck, Peter Schwabe, Gregor Seiler, Damien Stehle",The established cryptographic asymmetric methods are not prepared for possible attacks by a quantum computer and quantum algorithm. The challenge is to define new cryptographic primitives quantum computer resistant security protocols and processes.,IEEE EuroS&P,B,2018,"@misc{ieee xplore, title={Crystals - Kyber: A CCA-secure module-lattice-based KEM}, url={https://ieeexplore.ieee.org/abstract/document/8406610}, journal={IEEE Xplore}}"
"A Hardware Evaluation Study of NIST
Post-Quantum Cryptographic Signature schemes","Deepraj Soni, Kanad Basu, Mohammed Nabeel, Ramesh Karri",Rapid advances in quantum computing together with the announcement by the National Institute of Standards and Technology (NIST) to define new standards for digitalsignature encryption and key-establishment protocols have created significant interest in post-quantum cryptographic schemes. This paper introduces Kyber (part of CRYSTALS - Cryptographic Suite for Algebraic Lattices - a package submitted to NIST post-quantum standardization effort in November 2017) a portfolio of post-quantum cryptographic primitives built around a key-encapsulation mechanism (KEM) based on hardness assumptions over module lattices. Our KEM is most naturally seen as a successor to the NEWHOPE KEM (Usenix 2016). In particular the key and ciphertext sizes of our new construction are about half the size the KEM offers CCA instead of only passive security the security is based on a more general (and flexible) lattice problem and our optimized implementation results in essentially the same running time as the aforementioned scheme. We first introduce a CPA-secure public-key encryption scheme apply a variant of the Fujisaki-Okamoto transform to create a CCA-secure KEM and eventually construct in a black-box manner CCA-secure encryption key exchange and authenticated-key-exchange schemes. The security of our primitives is based on the hardness of Module-LWE in the classical and quantum random oracle models and our concrete parameters conservatively target more than 128 bits of postquantum security.,NIST,A*,2019,"@misc{a hardware evaluation study of nist post-quantum ... - csrc, url={https://csrc.nist.gov/CSRC/media/Events/Second-PQC-Standardization-Conference/documents/accepted-papers/soni-hardware-evaluation.pdf}}"
A Survey of Zero-Knowledge Proof for Authentication,"Jitendra Kurmi, Ankur Sodhi",As we are moving into the quantum era classical cryptography is under risk since quantum computers can break these complex cryptographic algorithms. Researchers are developing the post-quantum cryptographic (PQC) algorithms to secure the system against quantum computers. The National Institute of Standards and Technology (NIST) started a public evaluation process to standardize quantum-resistant public key algorithms. The objective of this study to provide hardware-based comparison of the NIST Round-2 PQC signature schemes. For this we use a High-Level Synthesis (HLS)-based hardware design methodology to map high-level C specifcations of signature-based PQC algorithms into FPGA implementations.,"International Journal of Advanced Research inComputer Science and Software Engineering",SJR - 0.587,2015,"@misc{kurmi_sodhi_2015, title={A survey of Zero-knowledge proof for authentication}, url={https://www.researchgate.net/profile/Jitendra-Kurmi/publication/316492793_A_Survey_of_Zero-Knowledge_Proof_for_Authentication/links/5900f060a6fdcc8ed50ed99d/A-Survey-of-Zero-Knowledge-Proof-for-Authentication.pdf}, journal={researchget.net}, publisher={International Journal of Advanced Research in Computer Science and Software Engineering}, author={Kurmi, Jitendra and Sodhi, Ankur}, year={2015}, month={Jan}}"
An authentication protocol based on chaos and zero knowledge proof,"Will Major, William J. Buchanan, Jawad Ahmad",Zero-knowledge proofs are cryptographic protocols which do not disclose the information or secret itself during the protocol. Zero-knowledge proofs plays an important role in the design of cryptographic protocols. The application of Zero-knowledge protocols can be in authentication identification key exchange and other basic cryptographic operations. Zero-knowledge proof has been implemented without expose any secret information during the conversation and with smaller computational requirement than using comparable public key protocols. The most cryptographic problems can be solved with the help of zero-knowledge protocols as well as with cryptography. Zeroknowledge protocols can be a best solution in many occasions. The Zero-knowledge proof protocols are very lightweight due to which it requires less amount of memory. Thus Zero-knowledge protocols widely used especially in authentication. This paper presents an overview of zero-knowledge protocol used for authentication identification and key exchange.,Springer Link - Nonlinear dynamic,SJR - 0.424,2020,"@misc{major_buchanan_ahmad_2020, title={An authentication protocol based on chaos and zero knowledge proof - nonlinear dynamics}, url={https://link.springer.com/article/10.1007/s11071-020-05463-3#Bib1}, journal={SpringerLink}, publisher={Springer Netherlands}, author={Major, Will and Buchanan, William J. and Ahmad, Jawad}, year={2020}, month={Jan}}"
Limbo: Efficient Zero-knowledge MPCitH-based Arguments,"Cyrien Delpech de Saint Guilhem, Emmanuela Orsini, Titouan Tanguy",Port Knocking is a method for authenticating clients through a closed stance firewall and authorising their requested actions enabling severs to offer services to authenticated clients without opening ports on the firewall. Advances in port knocking have resulted in an increase in complexity in design preventing port knocking solutions from realising their potential. This paper proposes a novel port knocking solution named Crucible which is a secure method of authentication with high usability and features of stealth allowing servers and services to remain hidden and protected. Crucible is a stateless solution only requiring the client memorise a command the serverâ€™s IP and a chosen password. The solution is forwarded as a method for protecting servers against attacks ranging from port scans to zero-day exploitation. To act as a random oracle for both client and server cryptographic hashes were generated through chaotic systems.,ACM Conference on Computer and Communications Security,SJR - 1.023,2021,"@article{de2021limbo,
title={Limbo: efficient zero-knowledge MPCitH-based arguments},
author={de Saint Guilhem, Cyprien Delpech and Orsini, Emmanuela and Tanguy, Titouan},
journal={Cryptology ePrint Archive},
year={2021}
}"
A survey on NIST PQ signatures,"Nicola Di Chiano, Riccardo Longo, Alessio Meneghetti, and Giordano Santilli",This work introduces a new interactive oracle proof system based on the MPC-in-theHead paradigm. To improve concrete efficiency and offer flexibility between computation time and communication size a generic proof construction based on multi-round MPC protocols is proposed instantiated with a specific protocol and implemented and compared to similar proof systems. Performance gains over previous work derive from a multi-party multiplication check optimized for the multi-round and MPC-in-the-Head settings. Of most interest among implementation optimizations is the use of identical randomness across repeated MPC protocol executions in order to accelerate computation without excessive cost to the soundness error.The new system creates proofs of SHA-256 pre-images of 43KB in 53ms with 16 MPC parties or 23KB in 188ms for 128 parties. As a signature scheme the non-interactive variant produces signatures based on the AES-128 circuit of 18KB in about 4ms; this is 20% faster and 32 % larger than the Picnic3 scheme (13kB in 5.3ms for 16 parties) which is based on the 90% smaller LowMC circuit.,ArXiv,N/A - not found on any of the sources,2021,"@article{di2021survey,
title={A survey on NIST PQ signatures},
author={Di Chiano, Nicola and Longo, Riccardo and Meneghetti, Alessio and Santilli, Giordano},
journal={arXiv preprint arXiv:2107.11082},
year={2021}
}"
Towards Post-Quantum Blockchain: A Review on Blockchain Cryptography Resistant to Quantum Computing Attacks,Tiago M. Fernández-Caramès; Paula Fraga-Lamas,Shorâ€™s shockingly fast quantum algorithm for solving the period-finding problem is a threat for the most common public-key primitives as it can be efficiently applied to solve both the Integer Factorisation Problem and the Discrete Logarithm Problem. In other words as soon as a large-enough quantum computer is born many once-secure protocols have to be replaced by still-secure alternatives. Instead of relying for example on the RSA protocol the Diffie-Hellman key-exchange or the (Elliptic Curve) Digital Signature Algorithm many researchers moved their attention to the design and analysis of primitives which are yet to be broken by quantum algorithms.The urgency of the threat imposed by quantum computers led the U.S. National Institute of Standards and Technology (NIST) to open calls for both Post-Quantum Public-Keys Exchange Algorithms and Post-Quantum Digital Signature Algorithms [32]. This new NIST standardisation process started in 2016 has involved hundreds of researchers has seen 37 early submissions for a total of 82 proposals and has recently reached its third round of analyses.In this brief survey we focus on the round 3 finalists and alternate candidates for Digital Signatures announced on July 22 2020:These schemes are designed to address distinct security levels known as Security LevelI III and V. These levels correspond to respectively 128 192 and 256 bits of security against collisions. Among the six schemes above only Falcon cannot be instantiated to all three security levels. In order to present these primitives we start in Section 1 with an introduction to their underlying mathematical objects and the related problems i.e. lattices polynomial ideals one-way functions and zero-knowledge proofs. Then Section 2 describes the six digital signatures and lists their algorithms for key-generation signing and verification. Finally in Section 3 we conclude with a comparison between the different schemes.,IEEE Access,B,2020,"""@ARTICLE{8967098,  author={Fern�ndez-Caram�s, Tiago M. and Fraga-Lamas, Paula},  journal={IEEE Access},   title={Towards Post-Quantum Blockchain: A Review on Blockchain Cryptography Resistant to Quantum Computing Attacks},   year={2020},  volume={8},  number={},  pages={21091-21116},  doi={10.1109/ACCESS.2020.2968985}}"""
Variations of QKD Protocols Based on Conventional System Measurements: A Literature Review,Abdulbast A. Abushgra,Blockchain and other Distributed Ledger Technologies (DLTs) have evolved significantly in the last years and their use has been suggested for numerous applications due to their ability to provide transparency redundancy and accountability. In the case of blockchain such characteristics are provided through public-key cryptography and hash functions. However the fast progress of quantum computing has opened the possibility of performing attacks based on Grovers and Shors algorithms in the near future. Such algorithms threaten both public-key cryptography and hash functions forcing to redesign blockchains to make use of cryptosystems that withstand quantum attacks thus creating which are known as post-quantum quantum-proof quantum-safe or quantum-resistant cryptosystems. For such a purpose this article first studies current state of the art on post-quantum cryptosystems and how they can be applied to blockchains and DLTs. Moreover the most relevant post-quantum blockchain systems are studied as well as their main challenges. Furthermore extensive comparisons are provided on the characteristics and performance of the most promising post-quantum public-key encryption and digital signature schemes for blockchains. Thus this article seeks to provide a broad view and useful guidelines on post-quantum blockchain security to future blockchain researchers and developers.,Cryptography; Basel,N/A,2022,"""@article{author={Abushgra,Abdulbast A.},year={2022},title={Variations of QKD Protocols Based on Conventional System Measurements: A Literature Review},journal={Cryptography},volume={6},number={1},pages={12},note={Copyright - � 2022 by the author. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License; Last updated - 2022-03-24},abstract={Cryptography is an unexpected revolution in information security in the recent decades, where remarkable improvements have been created to provide confidentiality and integrity. Quantum cryptography is one such improvement that has grown rapidly since the first announced protocol. Quantum cryptography contains substantial elements that must be addressed to ensure secure communication between legitimate parties. Quantum key distribution (QKD), a technique for creating a secret key, is one of the most interesting areas in quantum cryptography. This paper reviews some well-known quantum key distribution techniques that have been demonstrated in the past three decades. Furthermore, this paper discusses the process of creating a secret key using quantum mechanics and cryptography methods. Moreover, it explains the relationships between many basic aspects of QKD protocols and suggests some improvements in the cryptosystem. An accurate quantitative comparison between the QKD protocols is presented, especially the runtime execution for each QKD protocol. In addition, the paper will demonstrate a general model of each considered QKD protocol based on security principles.},keywords={Mathematics; quantum key distribution protocol; district variable; continues variable; superposition state; quantum bit (qubit); entanglement state; Cryptography; Quantum computing; Quantum cryptography; Internet; Quantum physics; Security; Protocol; Communication; Quantum mechanics; Design; Literature reviews; Algorithms; Digital signatures},language={English},url={https://ezproxy.rit.edu/login?url=https://www.proquest.com/scholarly-journals/variations-qkd-protocols-based-on-conventional/docview/2642361475/se-2},}"""
Fiat-Shamir with Aborts: From Identification Schemes to Linkable Ring Signatures,Dipayan Das,Cryptography is an unexpected revolution in information security in the recent decades where remarkable improvements have been created to provide confidentiality and integrity. Quantum cryptography is one such improvement that has grown rapidly since the first announced protocol. Quantum cryptography contains substantial elements that must be addressed to ensure secure communication between legitimate parties. Quantum key distribution (QKD) a technique for creating a secret key is one of the most interesting areas in quantum cryptography. This paper reviews some well-known quantum key distribution techniques that have been demonstrated in the past three decades. Furthermore this paper discusses the process of creating a secret key using quantum mechanics and cryptography methods. Moreover it explains the relationships between many basic aspects of QKD protocols and suggests some improvements in the cryptosystem. An accurate quantitative comparison between the QKD protocols is presented especially the runtime execution for each QKD protocol. In addition the paper will demonstrate a general model of each considered QKD protocol based on security principles.,SPACE 2020,N/A,2020,"@InProceedings{10.1007/978-3-030-66626-2_9,
author=""Das, Dipayan"",
editor=""Batina, Lejla
and Picek, Stjepan
and Mondal, Mainack"",
title=""Fiat-Shamir with Aborts: From Identification Schemes to Linkable Ring Signatures"",
booktitle=""Security, Privacy, and Applied Cryptography Engineering"",
year=""2020"",
publisher=""Springer International Publishing"",
address=""Cham"",
pages=""167--187"",
abstract=""Fiat-Shamir with aborts is a technique to transform a lattice-based identification scheme to a signature scheme introduced by Lyubashevsky (in Asiacrypt 2009). The scheme is also provably secure based on some standard lattice problems. In this paper, we show how to generically transform a signature scheme, obtained by Fiat-Shamir transformation from the ring learning with errors problem (RLWE), to a ring signature. The ring signature obtained with this transformation possesses standard security notions like unforgeability and anonymity. We also show how to achieve a linkable ring signature from the ring signature using a collision-resistant hash function. Linkable ring signatures are an important cryptographic tool as it protects signer anonymity and link signatures from the same signer. The linkable ring signature obtained from this transformation performs at par with the other lattice-based solutions for linkable ring signature, which does not require high-end zero-knowledge proofs."",
isbn=""978-3-030-66626-2""
}"
The Fiat-Shamir Zoo: Relating the Security of Different Signature Variants,"Matilda Backendal, Mihir Bellare, Jessica Sorrell & Jiahao Sun ",Fiat-Shamir with aborts is a technique to transform a latticebased identification scheme to a signature scheme introduced by Lyubashevsky (in Asiacrypt 2009). The scheme is also provably secure based on some standard lattice problems. In this paper we show how to generically transform a signature scheme obtained by Fiat-Shamir transformation from the ring learning with errors problem (RLWE) to a ring signature. The ring signature obtained with this transformation possesses standard security notions like unforgeability and anonymity. We also show how to achieve a linkable ring signature from the ring signature using a collisionresistant hash function. Linkable ring signatures are an important cryptographic tool as it protects signer anonymity and link signatures from the same signer. The linkable ring signature obtained from this transformation performs at par with the other lattice-based solutions for linkable ring signature which does not require high-end zero-knowledge proofs.,NordSec 2018: Secure IT Systems,N/A,2018,"@InProceedings{10.1007/978-3-030-03638-6_10,
author=""Backendal, Matilda
and Bellare, Mihir
and Sorrell, Jessica
and Sun, Jiahao"",
editor=""Gruschka, Nils"",
title=""The Fiat-Shamir Zoo: Relating the Security of Different Signature Variants"",
booktitle=""Secure IT Systems"",
year=""2018"",
publisher=""Springer International Publishing"",
address=""Cham"",
pages=""154--170"",
abstract=""The Fiat-Shamir paradigm encompasses many different ways of turning a given identification scheme into a signature scheme. Security proofs pertain sometimes to one variant, sometimes to another. We systematically study three variants that we call the challenge (signature is challenge and response), commit (signature is commitment and response), and transcript (signature is challenge, commitment and response) variants. Our framework captures the variants via transforms that determine the signature scheme as a function of not only the identification scheme and hash function (to cover both standard and random oracle model hashing), but also what we call a signing algorithm, to cover both classical and with-abort signing. We relate the security of the signature schemes produced by these transforms, giving minimal conditions under which uf-security of one transfers to the other. To apply this comprehensively, we formalize linear identification schemes, show that many schemes in the literature are linear, and show that any linear scheme meets our conditions for the signature schemes given by the three transforms to have equivalent uf-security. Our results give a comprehensive picture of the Fiat-Shamir zoo and allow proofs of security in the literature to be transferred automatically from one variant to another."",
isbn=""978-3-030-03638-6""
}"
,,,,,,
,,,,,,
,,,,,,
